nyt_id,xml_id,cluster_id,month,day,year,perceived_author_gender,nyt_pdf_endpoint
4fc066e445c1498b0d2ab471,106118615,1,5,8,1909,f,https://timesmachine.nytimes.com/timesmachine/1909/05/08/106118615.pdf
4fc066e445c1498b0d2ab471,106118615,2,5,8,1909,m,https://timesmachine.nytimes.com/timesmachine/1909/05/08/106118615.pdf
4fc05f5545c1498b0d286ea1,105456766,1,8,2,1914,f,https://timesmachine.nytimes.com/timesmachine/1914/08/02/105456766.pdf
4fc05f5545c1498b0d286ea1,105456766,2,8,2,1914,m,https://timesmachine.nytimes.com/timesmachine/1914/08/02/105456766.pdf
4fc098e345c1498b0d398542,112678830,1,4,24,1921,m,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc098e345c1498b0d398542,112678830,2,4,24,1921,f,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc098e345c1498b0d398542,112678830,3,4,24,1921,f,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc098e345c1498b0d398542,112678830,4,4,24,1921,f,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc098e345c1498b0d398542,112678830,5,4,24,1921,m,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc050d745c1498b0d2472a0,104795692,1,2,1,1908,m,https://timesmachine.nytimes.com/timesmachine/1908/02/01/104795692.pdf
4fc050d745c1498b0d2472a0,104795692,2,2,1,1908,m,https://timesmachine.nytimes.com/timesmachine/1908/02/01/104795692.pdf
4fc064bb45c1498b0d2a0b76,104882442,1,11,12,1911,f,https://timesmachine.nytimes.com/timesmachine/1911/11/12/104882442.pdf
4fc064bb45c1498b0d2a0b76,104882442,2,11,12,1911,m,https://timesmachine.nytimes.com/timesmachine/1911/11/12/104882442.pdf
4fc068e445c1498b0d2b4292,105458730,1,8,30,1914,f,https://timesmachine.nytimes.com/timesmachine/1914/08/30/105458730.pdf
4fc068e445c1498b0d2b4292,105458730,2,8,30,1914,m,https://timesmachine.nytimes.com/timesmachine/1914/08/30/105458730.pdf
4fc098e345c1498b0d398542,112678830,1,4,24,1921,f,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc098e345c1498b0d398542,112678830,2,4,24,1921,m,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc098e345c1498b0d398542,112678830,3,4,24,1921,m,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc098e345c1498b0d398542,112678830,4,4,24,1921,f,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc098e345c1498b0d398542,112678830,5,4,24,1921,m,https://timesmachine.nytimes.com/timesmachine/1921/04/24/112678830.pdf
4fc0499c45c1498b0d226970,101774553,1,4,14,1906,f,https://timesmachine.nytimes.com/timesmachine/1906/04/14/101774553.pdf
4fc0499c45c1498b0d226970,101774553,2,4,14,1906,m,https://timesmachine.nytimes.com/timesmachine/1906/04/14/101774553.pdf
