Table 3b: Top Coefficients for Scenario 2,
,
Female Label Coefficients,
Term,Score
Mrs,3.32
Miss,2.28
Woman,2.1
Girl,0.94
Mother,0.92
Male Label Coefficients,
Term,Score
Professor,0.74
Dr ,0.63
Prof,0.54
British,0.54
Volume,0.51
