,f1_score_f,precision_f,recall_f,f1_score_m,precision_m,recall_m,accuracy,male_match,male_mismatch,female_match,female_mismatch
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.7758100181780972,0.7725169702830851,0.7810215880339788,0.8990648005064835,0.9013998016303622,0.8971774514242945,0.8609574999999999,247.906,28.471,96.477,27.146
std,0.024981037863851904,0.03867325628189943,0.03450926398248259,0.011016720767466149,0.01763242473025419,0.018007796533962936,0.01451766876796879,7.111380719363556,5.339819535590381,6.576375880355359,5.039055077698206
min,0.6787330316742081,0.6290322580645161,0.6470588235294118,0.8669201520912547,0.8388278388278388,0.8339350180505415,0.8225,225.0,15.0,75.0,11.0
25%,0.7597914762533428,0.7459016393442623,0.7583333333333333,0.8913343742493394,0.8897058823529411,0.8853046594982079,0.85,243.0,25.0,92.0,24.0
50%,0.7764705882352941,0.773109243697479,0.7804878048780488,0.8992805755395683,0.9017862838915471,0.8971109720483939,0.86,248.0,28.0,96.5,27.0
75%,0.7935222672064778,0.8,0.8036131508678237,0.906474820143885,0.9136690647482014,0.9100820467221729,0.87,253.0,32.0,101.0,30.0
max,0.8529411764705883,0.8780487804878049,0.9026548672566371,0.9271758436944937,0.9591078066914498,0.9444444444444444,0.9,270.0,46.0,116.0,44.0
