Table 3d: Top Coefficients for Scenario 4,,,
,,,
Female Label Coefficients,,,
Term,Score,,
Child,1.19,,
Story ,1.06,,
Novel ,0.96,,
Heroine ,0.95,,
Home ,0.81,,
,,,
Male Label Coefficients,,,
Term,Score,,
Dr,0.67,,
British,0.64,,
Volume,0.61,,
Essay,0.58,,
Prof,0.52,,
