Table 1: Machine Learning Feature Selection Scenarios,
No terms removed,No terms removed
Stopwords removed,Stopwords removed
"Stopwords, gender nouns, and titles removed","Stopwords, gender nouns, and titles removed"
"Stopwords, gender nouns, titles, and common forenames removed","Stopwords, gender nouns, titles, and common forenames removed"
