,f1_score_f,precision_f,recall_f,f1_score_m,precision_m,recall_m,accuracy,male_match,male_mismatch,female_match,female_mismatch
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.7124621042096086,0.687099932589472,0.7432939431287118,0.8636450218185223,0.8805051477632674,0.8482694159058342,0.8151575,234.338,42.039,91.725,31.898
std,0.028290999197678083,0.04529396730265774,0.042478206979584626,0.01394407209350896,0.022508181352544968,0.02516016390874699,0.01792526872905979,6.801471606646316,7.669308788756474,5.781418493743538,6.503067421293269
min,0.6222222222222222,0.547945205479452,0.5968992248062015,0.8053435114503816,0.8057553956834532,0.7619047619047619,0.745,210.0,23.0,70.0,11.0
25%,0.6923076923076923,0.6567164179104478,0.7132352941176471,0.8539637375646432,0.8661137600344809,0.8315412186379928,0.8025,230.0,37.0,88.0,27.0
50%,0.713767782784032,0.6884057971014492,0.743801652892562,0.8642183288409704,0.880683122847302,0.8494623655913979,0.815,235.0,42.0,92.0,32.0
75%,0.7315175097276263,0.7191123134550211,0.7717226136206659,0.8736059479553904,0.8958531333531333,0.8661971830985915,0.8275,239.0,47.0,96.0,36.0
max,0.7921568627450981,0.8,0.9067796610169492,0.9028776978417266,0.9547325102880658,0.9132075471698113,0.8675,255.0,70.0,107.0,54.0
