Table 3a: Top Coefficients for Scenario 1 ,
,
Female Label Coefficients,
Term,Score
Her,4.78
She,3.82
Mrs,2.12
Miss,1.51
Woman,1.23
,
Male Label Coefficients,
Term,Score
His,2.07
Mr,1.73
The,1.08
Of ,0.78
That,0.49
