,f1_score_f,precision_f,recall_f,f1_score_m,precision_m,recall_m,accuracy,male_match,male_mismatch,female_match,female_mismatch
count,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
mean,0.5934332026731345,0.5506897451533029,0.6497719194202264,0.7931281877189135,0.8293857043353912,0.7617269291465725,0.7259675,210.322,66.055,80.065,43.558
std,0.03107735470719221,0.04732850987679593,0.05405960481728271,0.017719730408872026,0.027877981209846355,0.03641612775491762,0.021511518755987207,7.369981861078943,11.502620800725602,5.524064652978845,8.73698866721086
min,0.4893617021276596,0.40476190476190477,0.47586206896551725,0.7220077220077221,0.7357142857142858,0.6585365853658537,0.64,187.0,34.0,64.0,22.0
25%,0.5711770623742455,0.5194805194805194,0.6153846153846154,0.7819548872180452,0.8113018110176555,0.7366548042704626,0.7125,205.0,58.0,76.0,37.0
50%,0.593984962406015,0.5507246376811594,0.6504065040650406,0.7938637132477312,0.8293650793650794,0.7622377622377622,0.7275,210.0,65.5,80.0,43.0
75%,0.6144473512967956,0.5827338129496403,0.6856005065315915,0.8059149722735675,0.8489795918367347,0.7885304659498208,0.74,216.0,74.0,84.0,49.0
max,0.7067669172932329,0.6916666666666667,0.7964601769911505,0.853932584269663,0.9087136929460581,0.8666666666666667,0.805,229.0,102.0,98.0,76.0
